composer,genre,lyricist,singer,song,songName
Sarath Dasanayaka,Duets,Somapala Leelananda,Angelin Gunathilaka,,Yawwana Uyane | යව්වන උයනේ
Stanley Pieris,Old Pops,Ajantha Ranasinghe,Milton Mallawarachchi,,Weedi Kone – වීදි කොණේ
Sarath Dasanayaka,Movie Songs,Unknown,Milton Mallawarachchi,,Vikasitha Pathuman – විකසිත පැතුමන්
Victor Rathnayaka,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Upul Kopul – උපුල් කොපුල්
Nimal Mendis,Movie Songs,A Vinayagarathnam,Milton Mallawarachchi,,Upul Nuwan Vidaha – උපුල් නුවන් විදහා
Clarence Wijewardena,New Pop,Clarence Wijewardena,Milton Mallawarachchi,,Thanivi Sitinnai – තනිවී සිටින්නයි
Clarence Wijewardena,Old Pops,Karunarathna Abeysekara,Milton Mallawarachchi,,Sulange Paawi – සුලඟේ පාවී
Patrick Denipitya,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Sayuru Theredi – සයුරු තෙරේදී
Mohommad Sali,Old Pops,Karunarathna Abeysekara,Milton Mallawarachchi,,Oruwaka Paawena – ඔරුවක පාවෙන
Somapala Alwitigala,Classics,Mahagama Sekara,W.D.Amaradewa,,Ma mala Pasu – මා මළ පසු
Premasiri Khemadasa,Classics,Dharmasiri Bandaranayake,T.M.Jayarathna,,Pawanata Salena – පවනට සැලෙනා
Sarath De Alwis,Old Pops,Karunarathna Abeysekara,Milton Mallawarachchi,,Kawuruda Pawee – කවුරුද පාවී පාවී
Stanley Pieris,Old Pops,Upali Dhanawalawithana,Milton Mallawarachchi,,Kandu Paara Eatha – කඳු පාර ඈත
Clarence Wijewardena,Duets,Dharmasiri Gamage,Angelin Gunathilaka,,Kalak Awamen | කලක් ඇවෑමෙන්
Patrick Denipitya,Golden Pop,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Iwuru Thala – ඉවුරු තලා
Stanley Pieris,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Handannepa Den – හඬන්නෙපා දැන්
Stanley Pieris,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Hada Pathule – හද පතුලේ
Clarence Wijewardena,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Gana Andure – ඝන අඳුරේ
M.K.Roksami,Old Pops,Karunarathna Abeysekara,Milton Mallawarachchi,,Gamanae Gim – ගමනේ ගිම් නිවූ
Clarence Wijewardena,Golden Pop,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Ey wage dinak – ඒ වගේ දිනක්
Clarence Wijewardena,Old Pops,Premakeerthi De Alwis,Milton Mallawarachchi,,Eda Rae – එදා රෑ
Victor Rathnayaka,Old Pops,Premakeerthi De Alwis,Milton Mallawarachchi,,Dineka Ransalu – දිනෙක රන්සළු
Victor Rathnayaka,Golden Oldies,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Deadara wilikun – දෙඅදර විලිකුන්
Stanley Pieris,Old Pops,Ajantha Ranasinghe,Milton Mallawarachchi,,Davasak Thiyewee – දවසක් තියේවී
Upali Kannangara,Old Pops,Daya De Fonseka,Milton Mallawarachchi,,Dasa Ridenawa – දෑස රිදෙනවා
Clarence Wijewardena,Old Pops,Premakeerthi De Alwis,Milton Mallawarachchi,,Awasara netha mata – අවසර නැත මට
Stanley Pieris,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Atheethye pawa – අතීතයේ පවා
Stanley Pieris,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Ama Ran Hengum – අමා රන් හැඟුම්
H.M.Jayawardhana,Classics,Wimala R Pieris,T.M.Jayarathna,,Oba Ha Mema – ඔබ හා මෙමා
Rohana Weerasingha,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Namal Pipila – නාමල් පිපිලා
Clarence Wijewardena,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Ada Heta Oba Ma – අද හෙට ඔබ මා
Rohana Weerasingha,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Mulu Lowama – මුලු ලොවම
Premasiri Khemadasa,Classics,Ajantha Ranasinghe,T.M.Jayarathna,,Me Ayurin Api – මේ අයුරින් අපි
Premasiri Khemadasa,Classics,Ajantha Ranasinghe,T.M.Jayarathna,,Mala Gira Gela – මාල ගිරා ගෙල
H.M.Jayawardhana,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Lokaye Rudu – ලෝකයේ රුදු නෙත්
Clarence Wijewardena,Old Pops,Clarence Wijewardena,T.M.Jayarathna,,Kunda Saman – කුන්ද සමන්
Premasiri Khemadasa,Classics,Ranjith Weerasinghe,T.M.Jayarathna,,Ko Ma Pathu – කෝ මා පැතූ
Clarence Wijewardena,Old Pops,Camilas Perera,T.M.Jayarathna,,Hadissiye – හදිස්සියේ
Premasiri Khemadasa,Old Pops,Gamini Wijethunga,T.M.Jayarathna,,Jeewithe Amadhara – ජීවිතේ අමධාරා
Premasiri Khemadasa,Classics,Dharmasena Pathiraja,T.M.Jayarathna,,Hemin Sare – හෙමින් සැරේ
Rohana Weerasingha,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Hiruta Horen – හිරුට හොරෙන්
Rohana Weerasingha,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Eka Sitha Dethanaka – එක සිත දෙතැනක
Clarence Wijewardena,Old Pops,Ajantha Ranasinghe,T.M.Jayarathna,,Degoda Thala – දෙගොඩ තලා
Rohana Weerasingha,Old Pops,Malani Jayarathna,T.M.Jayarathna,,Ae Neela Nethu – ඈ නීල නෙතු සලා
Clarence Wijewardena,Old Pops,Hemasiri Halpita,T.M.Jayarathna,,Dayiwaye – දෛවයේ සුළි සුළගේ
Rohana Weerasingha,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Chandikamata – චන්ඩිකමට
Rohana Weerasingha,Classics,Malani Jayarathna,T.M.Jayarathna,,Amma Sandaki – අම්මා සඳකි
Premasiri Khemadasa,Classics,P.S.Alawaththage,T.M.Jayarathna,,Anduru Kutiya Thula – අදුරු කුටිය තුල
Pandith Amaradewa,Classics,Chandrarathna Manawasingha,W.D.Amaradewa,,Jagan Mohini – ජගන් මෝහිනී
Pandith Amaradewa,Current Songs,Swarna Sri Bandara,W.D.Amaradewa,,Dathe Elli – දෑතේ එල්ලී
Pandith Amaradewa,Classics,Madawala S Rathnayaka,W.D.Amaradewa,,Bambareku Awai – බඹරෙකු ආවයි
Victor Dalugama,Classics,Sunil Sarath Perera,Amitha Wedisinghe,,Anothaththa Vila – අනෝතත්ත විල
Somadasa Elvitigala,Classics,Dayananda Gunawardhana,W.D.Amaradewa,,Adara Hangum – ආදර හැඟුම්
Premasiri Khemadasa,Classics,Ajantha Ranasinghe,T.M.Jayarathna,,Wala Theerayen – වළා තීරයෙන්
Rohana Weerasingha,Duets,Kularathna Ariyawansa,Neela Wickramasinghe,,Sudu Muthu Rala Pela – සුදු මුතු රළ පෙළ
Rohana Weerasingha,Old Pops,Malani Jayarathna,T.M.Jayarathna,,Sonduru Atheethaye – සොඳුරු අතීතයේ
Stanley Pieris,Old Pops,Premakeerthi De Alwis,T.M.Jayarathna,,Sithn Ma Nosali – සිතින් මා නොසැලී
Premasiri Khemadasa,Old Pops,Ajantha Ranasinghe,T.M.Jayarathna,,Sithata Danena – සිතට දැනෙන මේ
Premasiri Khemadasa,Old Pops,Ajantha Ranasinghe,T.M.Jayarathna,,Seegiri Landune – සීගිරි ලඳුනේ
M.R.Chulasingha,Buddhist songs,Rambukkana Siddhartha Thero,T.M.Jayarathna,,Sanda Wathurak Se – සඳ වතුරක් සේ
Clarence Wijewardena,Old Pops,Hemasiri Halpita,T.M.Jayarathna,,Sovin Bara – සොවින් බර
Clarence Wijewardena,Old Pops,Upali Dhanawalawithana,T.M.Jayarathna,,Ruwata Ruwe – රුවට රුවේ
Premasiri Khemadasa,Classics,Ranjith Weerasinghe,T.M.Jayarathna,,Sanasum Susuman – සැනසුම් සුසුමන්
Rohana Weerasingha,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Raththaran Neth – රත්තරන් නෙත්
Rohana Weerasingha,Old Pops,Kularathna Ariyawansa,T.M.Jayarathna,,Rathriya Uda Una – රාත්‍රිය උදා උනා
Jagath Jayawardhana,Duets,Niar N Kasim,Amarasiri Peiris,,Sarasa Wasanthaya – සරස වසන්තය
Nimal Mendis,Classics,A Vinayagarathnam,Neela Wickramasinghe,,Ran Tikiri Sina – රන් ටිකිරි සිනා
Rohana Weerasingha,Duets,Hemasiri Gunathunga,Amarasiri Peiris,,Snehaye Nagarayai – ස්නේහයේ නගරයයි
Amarasiri Pieris,Classics,Priyananda Wijesooriya,Amarasiri Peiris,,Sanduda Awadiyen – සඳුද අවදියෙන්
Sangeeth Wickramasingha,New Pop,Kalum Shreemal,Amarasiri Peiris,,Oba Apple Malak – ඔබ ඇපල් මලක්
Rohana Weerasingha,Duets,Kapila Kumara Kalinga,Amarasiri Peiris,,Neka Uyan – නෙක උයන්
Kalani Perera,Classics,Saman Athawudahetti,Amarasiri Peiris,,Malak Wune – මලක් උනේ
Premasiri Khemadasa,Classics,Hemasiri Gunathunga,Amarasiri Peiris,,Kawuruwath Nehe – කවුරුවත් නැහැ
Danister Perea,Classics,Dhammika Bandara,Amarasiri Peiris,,Mage Punchi Rosa Male – මගේ පුංචි රෝස මලේ
Premasiri Khemadasa,Classics,Ranbanda Senevirathna,Amarasiri Peiris,,Landune Landune – ළඳුනේ
Unknown,New Pop,Shantha Jayalath Thisera,Amarasiri Peiris,,Kala Wewa Hindenawa – කලා වැව හිඳෙනවා
Tissasiri Perera,New Pop,Saman Athawudahetti,Amarasiri Peiris,,Iri Thelunu Wala – ඉරි තැළුනු වලා
Darshana Ruwan,Classics,Amila Thenuwara,Amarasiri Peiris,,Iki Gasa Handana – ඉකි ගසා හඩන
Danister Perea,New Pop,Dhammika Bandara,Amarasiri Peiris,,Hanthaneta Paayana – හන්තානට පායන සඳ
Amarasiri Pieris,Classics,Premakeerthi De Alwis,Amarasiri Peiris,,Charu Dehe Nura – චාරු දේහේ නුරා
H.M.Jayawardhana,Classics,Sunil Sarath Perera,Amarasiri Peiris,,Aya Yanna Giya – ඇය යන්න ගියා
Rohana Weerasingha,Classics,Sunil Ariyarathna,W.D.Amaradewa,,Thaththa Unath – තාත්තා වුණත්
Pandith Amaradewa,Classics,Rathna Sri Wijesinge,W.D.Amaradewa,,Sudu Neluma Ko – සුදු නෙළුම කෝ
